Year, Life Expectancy from Birth (Years)
1950-12-31,45.514
1951-12-31,45.996
1952-12-31,46.478
1953-12-31,46.96
1954-12-31,47.442
1955-12-31,47.924
1956-12-31,48.406
1957-12-31,48.888
1958-12-31,49.37
1959-12-31,49.732
1960-12-31,50.094
1961-12-31,50.456
1962-12-31,50.818
1963-12-31,51.18
1964-12-31,52.03
1965-12-31,52.88
1966-12-31,53.73
1967-12-31,54.58
1968-12-31,55.43
1969-12-31,55.962
1970-12-31,56.494
1971-12-31,57.026
1972-12-31,57.558
1973-12-31,58.09
1974-12-31,58.526
1975-12-31,58.962
1976-12-31,59.398
1977-12-31,59.834
1978-12-31,60.27
1979-12-31,60.63
1980-12-31,60.99
1981-12-31,61.35
1982-12-31,61.71
1983-12-31,62.07
1984-12-31,62.398
1985-12-31,62.726
1986-12-31,63.054
1987-12-31,63.382
1988-12-31,63.71
1989-12-31,63.88
1990-12-31,64.05
1991-12-31,64.22
1992-12-31,64.39
1993-12-31,64.56
1994-12-31,64.774
1995-12-31,64.988
1996-12-31,65.202
1997-12-31,65.416
1998-12-31,65.63
1999-12-31,65.914
2000-12-31,66.198
2001-12-31,66.482
2002-12-31,66.766
2003-12-31,67.05
2004-12-31,67.424
2005-12-31,67.798
2006-12-31,68.172
2007-12-31,68.546
2008-12-31,68.92
2009-12-31,69.312
2010-12-31,69.704
2011-12-31,70.096
2012-12-31,70.488
2013-12-31,70.88
2014-12-31,71.16
2015-12-31,71.44
2016-12-31,71.72
2017-12-31,72
2018-12-31,72.28
2019-12-31,72.456
2020-12-31,72.632
2021-12-31,72.808
2022-12-31,72.984
2023-12-31,73.16
